k,v,n,g,m,e,x,c,u
命令,命令,中央警察大學甄選或甄試新生入學辦法,行政＞內政部＞警政目,2020-12-11,,,9,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080011
命令,命令,中央警察大學臺灣警察專科學校教官資格審查辦法,行政＞內政部＞警政目,2020-11-25,,,12,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080012
命令,命令,遺失警察教育機關畢（結）業證書申請發給證明書辦法,廢止法規＞內政部,2000-11-24,,廢,6,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080013
命令,命令,外國警察人員來華研習警政辦法,廢止法規＞內政部,2003-01-22,,廢,9,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080014
命令,命令,警察人員特別休假辦法,行政＞內政部＞警政目,2007-11-21,,,9,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080015
命令,命令,保送現職警察人員進修辦法,行政＞內政部＞警政目,2024-05-06,,,12,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080016
命令,命令,中央警察大學學生（員）獎懲規則,行政＞內政部＞警政目,2018-02-22,,,20,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080017
命令,命令,警察機關限期服務警（隊）員管理辦法,廢止法規＞內政部,2004-09-29,,廢,13,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080019
命令,命令,警察機關限期服務警（隊）員招考及警察專長訓練辦法,廢止法規＞內政部,2013-07-05,,廢,14,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080020
命令,命令,行政機關執行保護令及處理家庭暴力案件辦法,行政＞衛生福利部＞保護服務目,2024-07-03,,,25,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080021
命令,命令,警察人員互助共濟辦法,行政＞內政部＞警政目,2020-01-09,,,21,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080022
命令,命令,臺灣地區各縣（市）警察紀錄證明書申請核發辦法,廢止法規＞內政部,2003-05-07,,廢,10,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080023
命令,命令,當舖業申請籌設勘驗及設立許可辦法,行政＞內政部＞警政目,2002-02-20,,,5,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080024
命令,命令,臺灣地區憲警外事勤務權責劃分及聯繫辦法,廢止法規＞內政部,2023-11-28,,廢,10,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080027
命令,命令,少年不良行為及虞犯預防辦法,廢止法規＞內政部,2021-09-15,,廢,17,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080028
命令,命令,違反道路交通管理事件統一裁罰基準及處理細則,行政＞交通部＞公路目,2026-05-26,2026-05-31,,103,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080029
命令,命令,臺灣地區警察機關查扣車輛處理辦法,廢止法規＞內政部,2000-07-13,,廢,10,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080030
命令,命令,毒品危害防制條例施行細則,行政＞法務部＞檢察目,2023-06-28,,,38,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=I0030019
命令,命令,防制毒品危害獎懲辦法,行政＞法務部＞檢察目,2021-03-16,,,33,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=I0030020
命令,命令,廣告物管理辦法,廢止法規＞內政部,2004-07-23,,廢,26,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080033
命令,命令,當舖業管理規則,廢止法規＞內政部,2001-08-27,,廢,32,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080034
命令,命令,流動人口登記辦法,廢止法規＞內政部,2008-09-09,,廢,9,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080035
命令,命令,自衛槍枝管理條例施行細則,行政＞內政部＞警政目,2015-03-10,,,22,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080038
命令,命令,自衛槍枝徵借辦法,行政＞內政部＞警政目,1999-11-20,,,14,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080039
命令,命令,自衛槍枝查驗費支用辦法,行政＞內政部＞警政目,1999-12-02,,,4,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080040
命令,命令,臺灣地區獵用彈藥獵槍配件供銷管理辦法,廢止法規＞內政部,1997-05-28,,廢,11,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080041
命令,命令,各級警察機關學校武器彈藥統籌調配辦法,行政＞內政部＞警政目,2019-06-04,,,8,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080043
命令,命令,警察機關及性侵害防治中心辦理性侵害事件處理準則,廢止法規＞內政部,2005-08-08,,廢,22,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080044
命令,命令,臺灣省各縣市警察局警察人員使用警械致人傷亡醫藥費撫卹費埋葬費支給標準,廢止法規＞內政部,2002-12-25,,廢,8,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080045
命令,命令,人民或團體收藏刀械管理辦法,廢止法規＞內政部,2002-10-30,,廢,15,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080048
命令,命令,警察服裝管理辦法,廢止法規＞內政部,2000-10-25,,廢,12,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080049
命令,命令,警察人員進修及深造教育實施辦法,行政＞內政部＞警政目,2025-09-26,,,10,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080050
命令,命令,檢肅流氓條例施行細則,廢止法規＞內政部,2009-04-20,,廢,67,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080052
命令,命令,駐衛警察使用警械管理辦法,行政＞內政部＞警政目,2002-11-13,,,11,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080053
命令,命令,警察人員服務證發給規則,廢止法規＞內政部,2000-11-08,,廢,10,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080054
命令,命令,警徽警旗製用辦法,廢止法規＞內政部,2000-10-18,,廢,11,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080055
命令,命令,生活習慣特殊國民獵槍魚槍刀械管理辦法,廢止法規＞內政部,2002-10-30,,廢,13,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080057
命令,命令,計程車駕駛人執業登記管理辦法,行政＞內政部＞警政目,2021-09-11,,,19,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080059
命令,命令,電氣警棍警棒電擊器管理辦法,廢止法規＞內政部,2002-11-06,,廢,13,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080060
命令,命令,交通助理人員管理辦法,行政＞內政部＞警政目,2012-04-30,,,12,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080061
命令,命令,臺灣警察專科學校優待體技專長人員入學甄試辦法,廢止法規＞內政部,2003-01-22,,廢,6,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080062
命令,命令,臺灣警察專科學校接受金門馬祖地區保送新生甄選入學辦法,廢止法規＞內政部,1995-11-25,,廢,10,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080063
命令,命令,臺灣警察專科學校學員生獎懲規則,廢止法規＞內政部,1998-06-19,,廢,19,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080064
命令,命令,檢舉違反槍砲彈藥刀械管制條例案件給獎辦法,行政＞內政部＞警政目,2023-12-27,,,7,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080065
命令,命令,各級警察機關刑案紀錄辦法,廢止法規＞內政部,2000-07-01,,廢,20,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080066
命令,命令,臺灣地區山地義勇警察組訓服勤辦法,廢止法規＞內政部,2004-03-10,,廢,15,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080068
命令,命令,公寓大廈及社區安全管理辦法,廢止法規＞內政部,2003-01-08,,廢,18,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080069
命令,命令,違反社會秩序維護法案件處理辦法,行政＞內政部＞警政目,2020-11-16,,,74,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080070
命令,命令,沒入物品處分規則,行政＞內政部＞警政目,1992-05-11,,,9,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080071
命令,命令,臺灣省舞廳舞場酒家酒吧特種咖啡茶室業管理規則（新 88.06.30 訂定）,廢止法規＞經濟部,2000-02-09,,廢,13,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080072
命令,命令,視聽歌唱理髮三溫暖舞廳舞場酒家酒吧及特種咖啡茶室業管理規則,廢止法規＞經濟部,2001-01-03,,廢,9,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080073
命令,命令,臺灣地區海上釣魚活動管理辦法,廢止法規＞內政部,1993-09-13,,廢,17,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080074
命令,命令,地方法院與警察機關處理違反社會秩序維護法案件聯繫辦法,行政＞內政部＞警政目,2020-11-16,,,17,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080076
命令,命令,解散及脫離犯罪組織登記辦法,廢止法規＞內政部,1997-04-21,,廢,8,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080078
命令,命令,性侵害犯罪防治法施行細則,行政＞衛生福利部＞保護服務目,2023-08-16,,,18,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080080
命令,命令,保全業法施行細則,行政＞內政部＞警政目,2003-11-18,,,10,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080082
命令,命令,性侵害犯罪加害人身心治療輔導及教育辦法,行政＞衛生福利部＞心理健康目,2023-10-25,2024-04-25,,21,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080083
命令,命令,警察機關查處違反兒童及少年性交易防制條例案件獎懲辦法,廢止法規＞內政部,2017-01-17,,廢,8,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080084
命令,命令,留置室設置管理辦法,廢止法規＞內政部,2012-03-27,,廢,9,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080085
命令,命令,拘留所設置管理辦法,行政＞內政部＞警政目,2014-01-07,,,63,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080086
命令,命令,性侵害加害人資料蒐集管理辦法,行政＞內政部＞警政目,2024-02-17,,,20,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080087
命令,命令,戶口查察實施辦法,廢止法規＞內政部,2000-10-31,,廢,8,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080089
命令,命令,警察人員執行勤務死亡殘廢特別給付金發給辦法,廢止法規＞內政部,2005-05-18,,廢,9,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080091
命令,命令,臺灣警察專科學校辦事細則,行政＞內政部＞處務目,2008-07-31,,,41,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080096
命令,命令,駐衛警察人員退職補償金發給辦法,行政＞內政部＞警政目,2014-11-07,,,15,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080104
命令,命令,警察機關暫支領警佐待遇人員管理辦法,行政＞內政部＞警政目,2020-02-19,,,14,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080105
命令,命令,各機關學校團體駐衛警察設置管理辦法,行政＞內政部＞警政目,2016-05-10,,,24,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080106
命令,命令,警察人員職期調任、地區調任及經歷調任辦法,廢止法規＞內政部,2007-01-16,,廢,12,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080107
命令,命令,警察人員功標年資標頒給辦法,廢止法規＞內政部,2000-10-25,,廢,12,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080108
命令,命令,益群獎章授予辦法,廢止法規＞內政部,2000-10-25,,廢,9,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080109
命令,命令,臺灣地區民防防情警報傳遞聯絡辦法,廢止法規＞內政部,2001-04-25,,廢,10,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080113
命令,命令,臺灣地區遭受飛彈襲擊處理辦法,廢止法規＞內政部,2001-06-29,,廢,11,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080114
命令,命令,臺灣地區防空作戰軍民防護災害搶救支援辦法,廢止法規＞內政部,2001-02-23,,廢,15,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080115
命令,命令,臺灣地區民防輸血實施辦法,廢止法規＞內政部,1996-12-01,,廢,13,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080116
命令,命令,防空警報、燈火、音響設施管制執行辦法,廢止法規＞內政部,2005-12-29,,廢,39,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080117
命令,命令,民用航空器過境乘客過夜住宿管理辦法,廢止法規＞內政部,1999-12-15,,廢,11,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080125
命令,命令,外國人入出國境及居留停留規則,廢止法規＞內政部,2000-02-01,,廢,35,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080126
命令,命令,外國人免簽證入境停留辦法,廢止法規＞內政部,2000-07-15,,廢,8,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080127
命令,命令,過境乘客過夜住宿辦法,行政＞內政部＞移民目,2015-11-16,,,13,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080128
命令,命令,外國人停留居留及永久居留辦法,行政＞內政部＞移民目,2025-12-30,2026-01-01,,24,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080129
命令,命令,外國人收容管理規則,行政＞內政部＞移民目,2015-12-01,,,13,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080130
命令,命令,內政部移民署實施查察及查察登記辦法,行政＞內政部＞移民目,2024-02-20,2024-03-01,,9,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080131
命令,命令,入出國及移民法施行細則,行政＞內政部＞移民目,2023-12-28,2024-03-01,,50,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080133
命令,命令,移民業務機構輔導管理辦法,行政＞內政部＞移民目,2023-12-28,2024-01-01,,46,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080134
命令,命令,入出國及移民許可證件規費收費標準,行政＞內政部＞移民目,2023-12-28,2024-03-01,,10,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080135
命令,命令,國民入出國許可辦法,廢止法規＞內政部,2009-04-28,,廢,22,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080136
命令,命令,臺灣地區無戶籍國民強制出國處理辦法,行政＞內政部＞移民目,2024-02-27,2024-03-01,,13,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080137
命令,命令,舉發違反入出國及移民法事件獎勵辦法,行政＞內政部＞移民目,2024-02-20,2024-03-01,,13,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080138
命令,命令,外國人臨時入國許可辦法,行政＞內政部＞移民目,2026-08-20,,,12,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080139
命令,命令,入出國查驗及資料蒐集利用辦法,行政＞內政部＞移民目,2023-12-28,2024-01-01,,27,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080140
命令,命令,大陸地區人民來臺從事觀光活動許可辦法,行政＞內政部＞移民目,2019-04-09,,,34,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080141
命令,命令,臺灣省零售市場管理規則（新 88.06.30 訂定）,廢止法規＞經濟部,2010-04-07,,廢,49,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080152
命令,命令,臺灣省攤販管理規則（88.06.30  訂定）,行政＞經濟部＞商業目,1999-06-30,,,17,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0080027
命令,命令,行政院海岸巡防署法規委員會組織規程,廢止法規＞行政院海岸巡防署,2018-04-26,,廢,11,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0090005
命令,命令,行政院海岸巡防署辦事細則,廢止法規＞行政院海岸巡防署,2018-04-26,,廢,39,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0090006
命令,命令,行政院海岸巡防署海岸巡防總局辦事細則,廢止法規＞行政院海岸巡防署,2018-04-26,,廢,38,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0090007
命令,命令,行政院海岸巡防署海洋巡防總局辦事細則,廢止法規＞行政院海岸巡防署,2018-04-26,,廢,38,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0090008
命令,命令,海岸巡防機關器械使用辦法,廢止法規＞行政院海岸巡防署,2003-09-10,,廢,13,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0090011
命令,命令,海岸巡防機關人員司法警察專長訓練辦法,行政＞海洋委員會＞海岸巡防目,2019-10-17,,,13,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0090012
命令,命令,海岸巡防機關與警察移民及消防機關協調聯繫辦法,行政＞海洋委員會＞海岸巡防目,2020-07-22,,,14,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0090013
命令,命令,海岸巡防機關與交通部協調聯繫辦法,行政＞海洋委員會＞海岸巡防目,2020-09-23,,,6,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0090014
命令,命令,海岸巡防機關與環境保護機關協調聯繫辦法,行政＞海洋委員會＞海洋資源目,2001-06-13,,,11,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0090015
命令,命令,海岸巡防機關與行政院農業委員會協調聯繫辦法,行政＞海洋委員會＞海岸巡防目,2020-09-23,,,8,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0090016
命令,命令,行政院海岸巡防署海岸巡防總局北部地區巡防局辦事細則,廢止法規＞行政院海岸巡防署,2018-04-26,,廢,37,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0090018
命令,命令,行政院海岸巡防署海岸巡防總局中部地區巡防局辦事細則,廢止法規＞行政院海岸巡防署,2018-04-26,,廢,37,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0090019
命令,命令,行政院海岸巡防署海岸巡防總局南部地區巡防局辦事細則,廢止法規＞行政院海岸巡防署,2018-04-26,,廢,37,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0090020
命令,命令,行政院海岸巡防署海岸巡防總局東部地區巡防局辦事細則,廢止法規＞行政院海岸巡防署,2018-04-26,,廢,38,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0090021
命令,命令,蒙藏委員會輔導海外蒙藏學生回國升學辦法,廢止法規＞蒙藏委員會,2017-08-17,,廢,10,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0100001
命令,命令,蒙藏委員會蒙藏學生獎勵辦法,廢止法規＞蒙藏委員會,2000-07-01,,廢,8,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0100002
命令,命令,蒙藏委員會補助在臺蒙藏學生辦法,廢止法規＞蒙藏委員會,2000-07-03,,廢,4,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0100003
命令,命令,蒙藏委員會發給在臺蒙藏人員族籍證明書辦法,廢止法規＞蒙藏委員會,2002-12-26,,廢,7,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0100004
命令,命令,蒙藏委員會專業獎章頒給辦法,廢止法規＞文化部,2020-06-03,,廢,8,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0100006
命令,命令,中央選舉委員會辦事細則,廢止法規＞中央選舉委員會,2009-12-31,,廢,30,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0110001
命令,命令,各級選舉委員會執行監察職務準則,行政＞中央選舉委員會＞選舉行政目,2023-08-01,,,22,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0110002
命令,命令,投票所開票所監察員推薦及服務規則,行政＞中央選舉委員會＞選舉行政目,2023-08-31,,,26,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0110003
命令,命令,公職人員罷免辦事處及辦事人員之設置及徵求連署辦法,行政＞中央選舉委員會＞選舉行政目,2017-06-30,,,11,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0110004
命令,命令,公職人員選舉投票所開票所工作人員訓儲辦法,廢止法規＞中央選舉委員會,2002-07-11,,廢,14,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0110005
命令,命令,公職人員選舉候選人競選經費查核準則,廢止法規＞中央選舉委員會,2007-11-22,,廢,10,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0110006
命令,命令,中央選舉委員會會議規則（80.05.07訂定）,廢止法規＞中央選舉委員會,2009-12-22,,廢,15,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0110007
命令,命令,第二屆立法委員選舉政黨使用電視從事競選宣傳辦法,廢止法規＞中央選舉委員會,1994-05-04,,廢,9,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0110008
命令,命令,公職人員選舉候選人競選辦事處及助選員設置辦法,廢止法規＞中央選舉委員會,2007-11-22,,廢,15,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0110009
命令,命令,直轄市長選舉候選人電視政見發表會實施辦法,廢止法規＞中央選舉委員會,2007-11-22,,廢,16,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0110010
命令,命令,全國不分區及僑居國外國民立法委員選舉政黨使用電視從事競選宣傳辦法,行政＞中央選舉委員會＞選舉行政目,2023-08-25,,,8,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0110011
命令,命令,總統副總統選舉候選人電視政見發表會實施辦法,行政＞中央選舉委員會＞選舉行政目,2009-02-09,,,10,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0110012
命令,命令,在國外之中華民國自由地區人民申請返國行使總統副總統選舉權登記查核辦法,行政＞中央選舉委員會＞選舉行政目,2023-09-05,,,9,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0110013
命令,命令,總統副總統選舉罷免法施行細則,行政＞內政部＞民政目,2023-09-11,,,62,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020054
命令,命令,總統副總統選舉連署及查核辦法,行政＞中央選舉委員會＞選舉行政目,2023-08-23,,,14,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0110014
命令,命令,消防法施行細則,行政＞內政部＞消防目,2024-01-22,,,17,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0120002
命令,命令,消防專業獎章頒給辦法,行政＞內政部＞消防目,2018-01-09,,,7,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0120003
命令,命令,災害防救徵調徵用徵購及優先使用補償辦法,行政＞內政部＞消防目,2022-12-05,,,9,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0120015
命令,命令,協助執行災害防救工作民間志願組織認證辦法,廢止法規＞內政部,2008-11-19,,廢,13,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0120016
命令,命令,風災震災火災爆炸火山災害救助種類及標準,行政＞內政部＞消防目,2022-10-20,,,9,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0120017
命令,命令,結合民防與全民防衛動員準備體系及協力組織執行災害整備及應變實施辦法,行政＞內政部＞消防目,2022-11-11,,,9,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0120018
命令,命令,民防團隊災害防救團體及災害防救志願組織編組訓練協助救災事項實施辦法,行政＞內政部＞消防目,2022-09-29,,,12,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0120019
命令,命令,申請國軍支援災害處理辦法,廢止法規＞內政部,2011-01-27,,廢,11,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0120020
命令,命令,災害防救法施行細則,行政＞內政部＞消防目,2022-12-12,,,22,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0120021
命令,命令,災害搜救費用繳納辦法,行政＞內政部＞消防目,2022-10-03,,,7,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0120022
命令,命令,公共危險物品及高壓氣體安全管理辦法,廢止法規＞內政部,2000-03-08,,廢,31,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0120024
命令,命令,公共危險物品及可燃性高壓氣體製造儲存處理場所設置標準暨安全管理辦法,行政＞內政部＞消防目,2024-07-16,,,97,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0120025
命令,命令,消防安全設備檢修專業機構管理辦法（86.04.30 訂定）,廢止法規＞內政部,2019-11-18,,廢,19,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0120027
命令,命令,消防安全設備檢查獎懲辦法,廢止法規＞內政部,1998-02-25,,廢,13,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0120028
命令,命令,各類場所消防安全設備設置標準,行政＞內政部＞消防目,2024-04-24,2024-07-01,,297,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0120029
命令,命令,消防服制準則,行政＞內政部＞消防目,2026-03-26,,,10,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0120030
命令,命令,消防設備師及消防設備士管理辦法,廢止法規＞內政部,2024-08-21,,廢,31,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0120031
命令,命令,直轄市縣（市）義勇消防編組辦法,廢止法規＞內政部,1999-06-29,,廢,20,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0120032
命令,命令,義勇消防組織編組訓練演習服勤辦法,行政＞內政部＞消防目,2025-08-05,,,27,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0120033
命令,命令,直轄市縣市消防機關救護車輛裝備人力配置標準,行政＞內政部＞消防目,2023-11-22,,,8,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0120034
命令,命令,直轄市縣市消防車輛裝備及其人力配置標準,行政＞內政部＞消防目,2026-07-28,,,8,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0120035
命令,命令,各級消防機關（構）人員遴用標準,行政＞內政部＞消防目,2026-07-23,,,18,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0120036
命令,命令,僑務委員會中華函授學校組織規程,廢止法規＞僑務委員會,2012-08-30,,廢,17,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=E0000006
命令,命令,僑務委員會華僑通訊社組織規程,廢止法規＞僑務委員會,2012-08-30,,廢,8,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=E0000007
命令,命令,僑務委員會駐外僑務工作人員設置規則,廢止法規＞僑務委員會,2013-04-02,,廢,9,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=E0000008
命令,命令,僑務委員會僑務工作研究促進委員會組織規程,廢止法規＞僑務委員會,2001-05-30,,廢,9,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=E0000009
命令,命令,僑務委員會法規委員會組織規程,廢止法規＞僑務委員會,2012-08-30,,廢,10,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=E0000010
命令,命令,海外華僑文教服務中心暫行組織規程,廢止法規＞僑務委員會,1997-06-25,,廢,8,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=E0000011
命令,命令,外交部駐外代表機構組織規程,廢止法規＞外交部,2019-06-13,,廢,12,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=E0000013
命令,命令,中華民國常駐世界貿易組織代表團組織規程,廢止法規＞外交部,2012-09-01,,廢,9,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=E0000014
