y,m,n,g,k,u
20.3,2006-06-23,教育部及所屬機關學校提供政府資訊收費標準,行政＞教育部＞秘書目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0010009
20.2,2006-06-27,交通部及所屬機關提供政府資訊收費標準,行政＞交通部＞處務目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=K0010116
20.2,2006-07-13,中央選舉委員會及所屬選舉委員會提供政府資訊收費標準,行政＞中央選舉委員會＞選舉行政目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0110020
20.2,2006-07-18,國立臺中圖書館中興堂場地及設備使用收費標準,行政＞文化部＞建設目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0170061
20.1,2006-08-11,行政院環境保護署及所屬機關提供政府資訊收費標準,行政＞環境部＞綜合規劃目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0010012
20.1,2006-08-24,僑務委員會提供政府資訊收費標準,行政＞僑務委員會＞一般業務目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=E0010022
19.9,2006-10-16,行政院金融監督管理委員會及所屬機關提供政府資訊收費標準,行政＞金融監督管理委員會＞收費目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=G0310042
19.7,2007-01-10,行政院客家委員會及所屬機關提供政府資訊收費標準,行政＞客家委員會＞客家事務目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0140002
19.7,2007-01-29,司法院及所屬機關提供政府資訊收費標準,司法＞院本部＞民事目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030214
19.5,2007-03-13,採購申訴審議收費辦法,行政＞行政院公共工程委員會＞通用目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030071
19.4,2007-04-26,電信終端設備規費收費標準,行政＞國家通訊傳播委員會＞收費標準目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=K0060078
19.2,2007-07-13,專用電信業務規費收費標準,行政＞國家通訊傳播委員會＞收費標準目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=K0060076
19.2,2007-07-23,電信管制射頻器材經營許可及進口許可規費收費標準,行政＞國家通訊傳播委員會＞收費標準目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=K0060079
19.2,2007-07-05,不動產經紀營業員登錄及證明收費標準,行政＞內政部＞地政目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0060091
19.2,2007-07-11,土地或建物參考資訊閱覽費及列印費收費標準,行政＞內政部＞地政目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0060092
19.1,2007-08-14,稅務代理人登記證書費收費標準,行政＞財政部＞賦稅目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=G0340121
