y,m,n,g,k,u
9.6,2017-02-13,陽明山國家公園陽明書屋門票收費標準,行政＞內政部＞國家公園目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070216
9.5,2017-04-06,私立就業服務機構收費項目及金額標準,行政＞勞動部＞就業服務目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0090028
9.5,2017-03-31,國立國父紀念館規費收費標準,行政＞文化部＞建設目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0020070
9.4,2017-05-16,海洋國家公園管理處建築執照規費收費標準,行政＞內政部＞國家公園目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070250
9.3,2017-06-14,規費法,行政＞財政部＞國庫目,法律,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=G0340107
9.3,2017-06-07,低功率射頻電機規費收費標準,行政＞國家通訊傳播委員會＞收費標準目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=K0060071
9.3,2017-05-31,公用天然氣事業天然氣售價及基本收費計算準則,行政＞經濟部＞能源目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0130055
9.2,2017-07-10,禮儀師證書費收費標準,行政＞內政部＞宗教及禮制目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020075
9.2,2017-07-18,內政部受理海岸管理法申請許可案件收費標準,行政＞內政部＞國家公園目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070254
8.9,2017-11-16,國立故宮博物院參觀收費標準,行政＞國立故宮博物院＞故宮博物目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0190007
8.9,2017-10-30,外來人口申請自動查驗通關系統收費標準,行政＞內政部＞移民目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080203
8.8,2017-12-19,高級中等以下學校及幼兒園教師資格考試收費標準,行政＞教育部＞師資培育及藝術教育目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0050015
8.8,2017-12-12,內政部受理查詢國家公園計畫範圍案件收費標準,行政＞內政部＞國家公園目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070262
8.8,2017-12-13,國立臺灣文學館場地使用收費標準,行政＞文化部＞建設目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0170141
8.8,2017-12-25,長期照顧服務人員認證證明文件及長期照顧服務機構設立許可證書費用收費標準,行政＞衛生福利部＞長期照顧目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=L0070050
8.7,2018-01-18,行政院人事行政總處及所屬機關提供政府資訊收費標準,行政＞行政院人事行政總處＞綜合規劃目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=S0010015
8.6,2018-03-06,省水標章使用許可規費收費標準,行政＞經濟部＞水利目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0110106
8.5,2018-04-10,溫泉取用費徵收費率及使用辦法,行政＞經濟部＞水利目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0110047
8.5,2018-03-31,綠建材標章規費收費標準,行政＞內政部＞建築研究目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070188
8.5,2018-03-12,持國外大學以上學歷申請認定修畢師資職前教育課程收費標準,行政＞教育部＞師資培育及藝術教育目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0020080
8.5,2018-03-31,智慧建築標章規費收費標準,行政＞內政部＞建築研究目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070197
8.5,2018-03-26,雪霸國家公園管理處建築執照規費收費標準,行政＞內政部＞國家公園目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070267
8.4,2018-04-27,金融科技創新實驗民事爭議處理收費辦法,行政＞金融監督管理委員會＞收費目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=G0380256
8.2,2018-07-23,船員申請許可核發證照收費標準,行政＞交通部＞航政目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=K0070054
8.2,2018-06-29,租賃住宅服務業許可及登記收費標準,行政＞內政部＞地政目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0060129
8.2,2018-07-02,租賃住宅管理人員訓練發證及收費辦法,行政＞內政部＞地政目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0060130
8.0,2018-09-25,金門國家公園管理處建築執照規費收費標準,行政＞內政部＞國家公園目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070273
7.9,2018-11-08,參與政府專案紓困方案公司發行新股與董事監察人經理人限制報酬及相關事項辦法,行政＞經濟部＞商業目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0080048
7.8,2018-12-22,水污染防治各項許可申請收費標準,行政＞環境部＞水質保護目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0040011
7.8,2018-12-20,政治獻金會計報告書查閱收費標準,監察＞院本部＞政獻目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0020140
7.8,2018-11-23,教育部獎助出國攻讀碩士博士學位及從事博士後研究甄（選）試收費標準,行政＞教育部＞國際及兩岸事務目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0110009
7.6,2019-02-01,國外大學醫學及牙醫學系畢業生學歷甄試收費標準,行政＞教育部＞高等教育目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0030061
7.5,2019-03-21,國籍規費收費標準,行政＞內政部＞戶政目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0030024
7.5,2019-03-27,客語能力認證考試規費收費標準,行政＞客家委員會＞客家事務目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0140003
7.5,2019-03-29,試辦金門馬祖澎湖與大陸地區通航入出境許可證件規費收費標準,行政＞內政部＞移民目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080174
7.4,2019-05-10,衛生福利部疾病管制署生物製劑收費標準,行政＞衛生福利部＞疾病管制目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=L0050036
7.4,2019-04-29,持國外專科以上學歷申請修畢幼兒園教保專業課程證明書收費標準,行政＞教育部＞師資培育及藝術教育目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0050019
7.2,2019-07-23,海洋委員會及所屬機關（構）提供政府資訊收費標準,行政＞海洋委員會＞秘書目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0090023
7.2,2019-07-09,都市更新公開評選申訴審議收費辦法,行政＞內政部＞國土管理目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070285
7.2,2019-07-29,經濟部受理查詢礦區與礦業保留區及地下礦坑分布地區案件收費標準,行政＞經濟部＞地礦目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0020061
7.1,2019-08-09,交通工具排放空氣污染物審查費證書費收費標準,行政＞環境部＞大氣環境目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020014
7.1,2019-09-05,限制產品過度包裝檢驗收費標準,行政＞環境部＞資源循環目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0050077
7.0,2019-09-27,專利規費收費辦法,行政＞經濟部＞智慧財產權目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0070012
7.0,2019-10-07,固定污染源空氣污染防制規費收費標準,行政＞環境部＞大氣環境目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020013
6.9,2019-10-24,勞動事件法第四十條第二項委任律師酬金支給標準,司法＞院本部＞民事目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010067
6.8,2019-12-25,國家通訊傳播委員會提供政府資訊收費標準,行政＞國家通訊傳播委員會＞收費標準目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=K0010120
6.8,2019-11-22,機關委託社會福利服務廠商評選及計費辦法,行政＞行政院公共工程委員會＞通用目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030316
6.8,2019-11-29,國土計畫使用許可審查費收費辦法,行政＞內政部＞國土管理目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070289
6.8,2019-12-05,國家考試電子計算器審查收費標準,考試＞考選部＞一般性考試目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=R0020038
6.7,2020-01-15,股票上市或於證券商營業處所買賣公司薪資報酬委員會設置及行使職權辦法,行政＞金融監督管理委員會＞證券暨期貨管理目  ,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=G0400149
6.7,2020-01-14,有限合夥規費收費準則,行政＞經濟部＞商業目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0080056
6.6,2020-02-26,財政部財政資訊中心提供財稅資訊收費標準,行政＞財政部＞財政資訊目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=G0340123
6.6,2020-02-07,內政部受理查詢海域區與沿海保護區及特定區位案件收費標準,行政＞內政部＞國家公園目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070255
6.6,2020-03-03,玉山國家公園土地使用證明規費收費標準,行政＞內政部＞國家公園目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070290
6.5,2020-04-08,產品安全資訊申報登錄及型式驗證規費收費標準,行政＞勞動部＞職業安全衛生目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0060067
6.4,2020-05-19,國立臺灣博物館門票收費標準,行政＞文化部＞建設目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0170045
6.3,2020-05-26,優惠電價收費辦法,行政＞經濟部＞能源目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0030127
6.2,2020-07-03,農業主管機關受理申請許可案件及核發證明文件收費標準,行政＞農業部＞農村發展及水土保持目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=M0020017
6.2,2020-07-09,懲戒法院辦理公務員懲戒案件必要費用徵收標準,司法＞院本部＞行懲及智財目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0020187
6.2,2020-07-21,西藥查驗登記審查費收費標準,行政＞衛生福利部＞食品藥物管理目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=L0030107
6.1,2020-08-04,音樂著作強制授權申請許可及使用報酬辦法,行政＞經濟部＞智慧財產權目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0070021
6.1,2020-09-03,國家發展委員會提供政府資訊收費標準,行政＞國家發展委員會＞院（處）務目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0020134
6.1,2020-09-03,國立臺灣歷史博物館門票收費標準,行政＞文化部＞建設目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0170088
6.1,2020-08-04,電信號碼使用費收費標準,行政＞數位發展部＞資源管理目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=K0060149
6.0,2020-09-29,事業廢棄物清理計畫書審查費收費標準,行政＞環境部＞資源循環目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0050065
5.9,2020-10-19,水權登記收費標準,行政＞經濟部＞水利目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0110025
5.9,2020-11-10,管制性化學品許可申請收費標準,行政＞勞動部＞職業安全衛生目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0060072
5.9,2020-11-04,法務部核發律師證書與外國法事務律師執業許可證及其未受懲戒證明收費標準,行政＞法務部＞檢察目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=I0020037
5.9,2020-11-12,農業灌溉用水加壓供水收費標準,行政＞農業部＞農田水利目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=M0100026
5.7,2020-12-30,非正規教育課程認可規費收費標準,行政＞教育部＞終身教育目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0080070
5.7,2021-01-15,專業技師辦理建築物結構與設備專業工程簽證許可收費標準,行政＞內政部＞國土管理目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070293
5.6,2021-03-03,國史館及所屬機關提供政府資訊收費標準,總統＞總統府＞國史館目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0020144
5.6,2021-02-20,法務部司法官學院圖書管理規費收費標準,行政＞法務部＞法訓目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=I0010096
5.5,2021-04-07,毒性及關注化學物質管理法規費收費標準,行政＞環境部＞化學物質管理目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0060019
5.5,2021-04-09,國軍退除役官兵輔導委員會榮譽國民之家自費安養規費收費標準,行政＞國軍退除役官兵輔導委員會＞就養目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=F0150025
5.5,2021-03-11,著作財產權人不明著作利用之許可授權及使用報酬辦法,行政＞經濟部＞智慧財產權目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0070044
5.5,2021-04-09,國軍退除役官兵輔導委員會榮譽國民之家自費養護規費收費標準,行政＞國軍退除役官兵輔導委員會＞就養目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=F0150032
5.5,2021-03-11,建築師證書及開業證書收費標準,行政＞內政部＞國土管理目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070294
5.4,2021-05-12,專科護理師申請甄審收費標準,行政＞衛生福利部＞護理及健康照護目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=L0020126
5.4,2021-05-13,環境維護費收費標準,行政＞經濟部＞地礦目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0020053
5.4,2021-04-16,國中教育會考收費標準,行政＞教育部＞國民及學前教育目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0070056
5.4,2021-05-05,海洋國家公園管理處核發土地使用證明規費收費標準,行政＞內政部＞國家公園目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070295
5.4,2021-05-07,國立臺灣文學館臺灣文學基地場地使用收費標準,行政＞文化部＞建設目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0170159
5.3,2021-06-02,農會漁會信用部設立許可證收費標準,行政＞農業部＞農業金融目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=M0070057
5.3,2021-06-18,中央警察大學接受委託鑑定案件收費標準,行政＞內政部＞警政目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080176
5.3,2021-06-16,商業事件律師酬金列為訴訟或程序費用之支給標準,司法＞院本部＞民事目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010078
5.2,2021-06-30,交通部所屬機關機構所轄公有公共運輸系統之場站或相關設施優先提供文化創意及運動產業之產品或服務廣告空間比例及使用費率標準,行政＞交通部＞交通通用目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=K0020063
5.2,2021-07-19,建築物公共安全檢查專業機構標準檢查員及專業人員認可證收費標準,行政＞內政部＞國土管理目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070297
5.1,2021-08-20,行政院及各級行政機關訴願文書使用收費標準,行政＞院本部＞通用目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030118
5.0,2021-09-08,市區道路使用費收費標準,行政＞內政部＞國土管理目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070016
5.0,2021-10-05,國立故宮博物院資料閱覽抄錄複製收費標準,行政＞國立故宮博物院＞故宮博物目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0190009
5.0,2021-09-29,罕見疾病藥物查驗登記審查費收費標準,行政＞衛生福利部＞食品藥物管理目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=L0030133
5.0,2021-10-05,交通部鐵道局國際會議廳場地使用收費標準,行政＞交通部＞鐵路目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=K0010153
5.0,2021-10-07,文化部文化資產園區場地使用收費標準,行政＞文化部＞建設目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0170161
4.9,2021-11-11,正字標記規費收費準則,行政＞經濟部＞標準檢驗目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0100022
4.9,2021-10-27,國立臺灣博物館規費收費標準,行政＞文化部＞建設目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0170070
4.9,2021-11-08,學校財團法人董事長董事監察人支領報酬及費用標準,行政＞教育部＞私立學校目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0040027
4.9,2021-10-21,食品藥品醫療器材化粧品檢驗機構認證收費標準,行政＞衛生福利部＞食品藥物管理目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=L0030135
4.8,2021-11-24,用水計畫審查收費標準,行政＞經濟部＞水利目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0110053
4.8,2021-11-24,公用天然氣事業用戶管線設備裝置計費準則,行政＞經濟部＞能源目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0130051
4.7,2022-01-17,國立臺灣史前文化博物館規費收費標準,行政＞文化部＞建設目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0020064
4.7,2022-01-12,醫事憑證收費標準,行政＞衛生福利部＞資訊目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=L0020122
4.7,2022-01-28,考試院及所屬機關提供政府資訊收費標準,考試＞院本部＞通用目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=R0020027
4.7,2022-01-24,國立臺灣歷史博物館圖像影音及出版品資料使用收費標準,行政＞文化部＞建設目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0170063
4.7,2022-01-05,國史館臺灣文獻館特展室場地使用規費收費標準,總統＞總統府＞國史館目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0020190
4.6,2022-03-09,勞工職業災害保險實績費率計算及調整辦法,行政＞勞動部＞勞動保險目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0050003
4.6,2022-02-08,植物品種及種苗管理收費標準,行政＞農業部＞農糧目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=M0030062
4.6,2022-02-15,公共衛生師申請證書及證明書收費標準,行政＞衛生福利部＞醫事目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=L0020223
4.5,2022-03-30,考試院及所屬機關訴願文書使用收費標準,考試＞院本部＞通用目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0020114
4.5,2022-03-24,空氣污染防制費收費辦法,行政＞環境部＞大氣環境目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0020027
4.5,2022-03-11,全民健康保險保險人資訊整合應用服務收費標準,行政＞衛生福利部＞中央健康保險目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=L0060040
4.5,2022-03-18,特定檢驗實驗室開發檢測認證收費標準,行政＞衛生福利部＞食品藥物管理目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=L0030140
4.5,2022-04-08,文化部文化資產局受理查詢國定或重要有形文化資產及水下文化資產範圍案件收費標準,行政＞文化部＞文化資產目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0170535
4.4,2022-05-17,公共衛生師事務所登記證及執業執照收費標準,行政＞衛生福利部＞醫事目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=L0020226
4.3,2022-06-01,各級學校專任運動教練資格審定規費收費標準,行政＞運動部＞競技運動目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0120037
4.2,2022-06-30,環境影響評估書件審查收費辦法,行政＞環境部＞綜合規劃目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0090010
4.2,2022-07-27,內政部電信信令人口統計資料收費標準,行政＞內政部＞處務目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0010123
4.1,2022-08-12,國立臺灣圖書館陽明山中山樓參觀門票收費標準,行政＞教育部＞終身教育目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0020082
4.1,2022-08-23,墾丁國家公園鵝鑾鼻公園收費標準,行政＞內政部＞國家公園目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070228
4.1,2022-09-02,國立臺灣文學館典藏數位圖像使用收費標準,行政＞文化部＞建設目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0170539
4.0,2022-09-28,環境敏感地區單一窗口查詢結果通知書收費標準,行政＞內政部＞國土管理目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070231
4.0,2022-09-29,小門地質探索館參觀門票收費標準,行政＞交通部＞觀光目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=K0110050
3.9,2022-11-01,內政部國土測繪中心規費收費標準,行政＞內政部＞地政目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0060087
3.9,2022-10-27,稻米出進口同意文件規費收費標準,行政＞農業部＞農糧目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=M0030103
3.9,2022-10-28,著作權集體管理團體財務報表及使用報酬分配表會計師查核簽證規則,行政＞經濟部＞智慧財產權目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0070051
3.8,2022-11-24,公司登記規費收費準則,行政＞經濟部＞商業目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0080002
3.8,2022-12-05,繁殖用植物實施特定疫病蟲害檢查及收費辦法,行政＞農業部＞動植物防檢疫目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=M0140005
3.8,2022-12-01,國立臺灣交響樂團演奏廳場地設備使用收費標準,行政＞文化部＞建設目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0170035
3.7,2022-12-30,檔案閱覽抄錄複製收費標準,行政＞國家發展委員會＞通用目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030091
3.7,2023-01-13,土地複丈費及建築改良物測量費收費標準,行政＞內政部＞地政目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0060046
3.7,2023-01-06,土石採取規費收費標準,行政＞經濟部＞地礦目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0020035
3.7,2023-01-18,墾丁國家公園管理處核發土地使用證明規費收費標準,行政＞內政部＞國家公園目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070158
3.7,2022-12-30,屠宰衛生檢查收費標準,行政＞農業部＞動植物防檢疫目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=M0130038
3.6,2023-02-20,中華民國普通護照規費收費標準,行政＞外交部＞領事業務目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=E0030008
3.6,2023-03-08,復審文書使用收費標準,考試＞公務人員保障暨培訓委員會＞保障目    ,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=S0120004
3.6,2023-02-21,辦理勞工體格與健康檢查醫療機構認可審查收費標準,行政＞勞動部＞職業安全衛生目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0060074
3.6,2023-03-07,國家人權博物館場地設施使用費收費標準,行政＞文化部＞建設目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0010067
3.6,2023-02-23,醫療器材行政規費收費標準,行政＞衛生福利部＞食品藥物管理目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=L0030123
3.6,2023-02-20,水產動物海域放流權責人員教育訓練證書費收費標準,行政＞農業部＞漁業目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=M0050071
3.5,2023-03-28,考試院各種證書暨證明書規費收費標準,考試＞院本部＞通用目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030198
3.5,2023-03-25,國立歷史博物館場地設備規費收費標準,行政＞文化部＞建設目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0020071
3.5,2023-04-14,國立新竹生活美學館場地使用收費標準,行政＞文化部＞建設目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0170542
3.4,2023-05-10,行政訴訟事件律師酬金列為訴訟費用之支給標準,司法＞院本部＞行懲及智財目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0020102
3.4,2023-04-20,土地或建築改良物權利書狀及申請應用地籍資料規費收費標準,行政＞內政部＞地政目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0060122
3.4,2023-04-28,公務人員保障暨培訓委員會複查成績及閱覽試卷收費標準,考試＞公務人員保障暨培訓委員會＞組織目       ,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=S0120005
3.3,2023-06-16,漁港基本設施使用管理費收費類目及費率標準,行政＞農業部＞漁業目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=M0050014
3.3,2023-06-12,水土保持計畫審查收費標準,行政＞農業部＞農村發展及水土保持目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=M0110005
3.3,2023-05-30,國立臺灣美術館場地設備使用及收費標準,行政＞文化部＞建設目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0170065
3.3,2023-06-01,行動寬頻專用電信網路規費收費標準,行政＞數位發展部＞數位產業目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=K0060163
3.3,2023-06-06,指定菸品健康風險評估審查收費標準,行政＞衛生福利部＞國民健康目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=L0070063
3.2,2023-07-17,財政部及所屬機關提供政府資訊收費標準,行政＞財政部＞綜合規劃目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=G0310041
3.2,2023-06-29,就業金卡與就業 PASS 卡及創業家簽證規費收費標準,行政＞內政部＞移民目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080205
3.2,2023-07-10,食農教育專業人員申請認可收費標準,行政＞農業部＞農民輔導目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=M0090043
3.2,2023-07-24,職業安全衛生顧問服務機構審查收費標準,行政＞勞動部＞職業安全衛生目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0060084
3.1,2023-08-17,國家科學及技術委員會及所屬機關提供政府資訊收費標準,行政＞國家科學及技術委員會＞科學技術目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0160052
3.1,2023-08-17,不當勞動行為裁決委員案件審理給付報酬標準,行政＞勞動部＞勞動關係目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0020020
3.1,2023-08-18,智慧財產民事事件律師酬金列為訴訟或程序費用之支給標準,司法＞院本部＞行懲及智財目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030351
3.0,2023-09-12,戶政規費收費標準,行政＞內政部＞戶政目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0030026
3.0,2023-09-19,農業部林業試驗所受託試驗及鑑定收費標準,行政＞農業部＞農業試驗改良目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=M0040046
