n,a,m,t,u
司法院組織法,第 5 條,2022-01-19,大法官須超出黨派以外，獨立行使職權，不受任何干涉。 實任法官轉任之大法官任期屆滿者，視同停止辦理審判案件之法官，不計入機關所定員額，支領法官法第七十二條第一項及第二項所定俸給總額之三分之二，並準用政務人員退職撫卹條例之規定。 實任檢察官轉任,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0010051
司法院組織法,第 22 條,2022-01-19,本法自公布日施行。 本法修正條文自公布日施行。但中華民國一百零八年十二月十日修正之第三條、第九條及第十六條自一百十一年一月四日施行。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0010051
法院組織法,第 51-7 條,2026-05-13,指定出任；遞補任期至該聲請迴避事件裁判之日為止。 院長、院長指定之大法庭審判長或大法庭庭員出缺者，遞補人選之任期至原任期屆滿為止。 有事故不能擔任大法庭審判長或庭員者，其遞補人選之任期或指定出任人選執行大法庭職務之期間，至該事故終結之日為止。但原任期所餘未滿三個月者，其遞補人選任期，,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0010053
法院組織法,第 57-1 條,2026-05-13,最高法院於中華民國一百零七年十二月七日本法修正施行前依法選編之判例，若無裁判全文可資查考者，應停止適用。 未經前項規定停止適用之判例，其效力與未經選編為判例之最高法院裁判相同。 於中華民國一百零七年十二月七日本法修正之條文施行後三年內，人民於上開條文施行後所受確,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0010053
法院組織法,第 63-1 條,2026-05-13,檢察長或檢察總長之指定，執行各該審級檢察官之職權，不受第六十二條之限制。 中華民國一百零五年十一月十八日修正之本條規定，自一百零六年一月一日施行。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0010053
法院組織法,第 115 條,2026-05-13,本法自公布日施行。 中華民國一百零五年五月二十七日修正之條文，自一百零六年一月一日施行。 中華民國一百零七年十二月七日修正之條文，自公布後六個月施行。 中華民國一百十年十一月二十三日修正之條文，除增訂第七條之一至第七條之十一，自一百十一年一月四日,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0010053
行政法院組織法,第 15-7 條,2022-06-22,第二項、第三項規定遞補或指定出任；遞補任期至該聲請迴避事件裁判之日為止。 院長或大法庭庭員出缺者，遞補人選之任期至原任期屆滿為止。 有事故不能擔任大法庭審判長或庭員者，其遞補人選之任期或指定出任人選執行大法庭職務之期間，至該事故終結之日為止。但原任期所餘未滿三個月者，其遞補人選任期，,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0010055
行政法院組織法,第 16-1 條,2022-06-22,最高行政法院於中華民國一百零七年十二月七日本法修正施行前依法選編之判例，若無裁判全文可資查考者，應停止適用。 未經前項規定停止適用之判例，其效力與未經選編為判例之最高行政法院裁判相同。 於中華民國一百零七年十二月七日本法修正之條文施行後三年內，人民於上開條文施行後所,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0010055
行政法院組織法,第 48 條,2022-06-22,本法自公布日施行。 本法修正條文施行日期，由司法院以命令定之。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0010055
懲戒法院組織法,第 29 條,2020-06-10,本法施行日期，由司法院定之。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0010056
